Nome_Serie,Data_1_org_OPT,Data_2_org_OPT,Data_3_org_OPT,Data_4_org_OPT,Data_1_OPT,Data_2_OPT,Data_3_OPT,Data_4_OPT,ID_1_OPT,ID_2_OPT,ID_3_OPT,ID_4_OPT,Lat_Centro_OPT,Lon_Centro_OPT,MGRS_Tile_OPT,EPSG_OPT
EMSR774_1_15QTA_x228485_y2037415_S2L2A,2024-09-26T16:39:49.024000Z,2024-10-24T16:53:51.024000Z,2024-10-29T16:53:29.024000Z,2024-11-28T16:55:49.024000Z,2023-09-20,2023-10-20,2023-10-20,2023-12-01,COPERNICUS/S2_SR_HARMONIZED/20230920T164951_20230920T170234_T15QTA,COPERNICUS/S2_SR_HARMONIZED/20231020T165321_20231020T165744_T15QTA,COPERNICUS/S2_SR_HARMONIZED/20231020T165321_20231020T165744_T15QTA,COPERNICUS/S2_SR_HARMONIZED/20231201T164639_20231201T165033_T14QRF,18.3981411064334,-95.55786039760041,N/A,EPSG:32615
EMSR243_2_19QGV_x783155_y1992115_S2L2A,2017-07-27T15:07:51.026000Z,2017-08-21T15:07:19.027000Z,2017-09-25T15:07:41.026000Z,2017-10-20T15:07:09.027000Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.9872983690965,-66.3142099475041,N/A,EPSG:32619
EMSR657_1_35UMB_x471625_y6191905_S2L2A,2023-01-06T09:32:59.024000Z,2023-03-17T09:30:39.024000Z,2023-04-09T09:40:39.024000Z,2023-05-01T09:30:31.024000Z,2022-01-11,2022-03-22,2022-04-06,2022-05-01,COPERNICUS/S2_SR_HARMONIZED/20220111T093249_20220111T093246_T35UMB,COPERNICUS/S2_SR_HARMONIZED/20220322T093029_20220322T093032_T35UMB,COPERNICUS/S2_SR_HARMONIZED/20220406T093041_20220406T093343_T35UMB,COPERNICUS/S2_SR_HARMONIZED/20220501T093029_20220501T093028_T35UMB,55.86042326983863,26.5670385833467,N/A,EPSG:32635
EMSR777_1_16QCE_x349815_y1916655_S2L2A,2024-10-10T16:21:19.024000Z,2024-11-11T16:15:11.024000Z,2024-11-19T16:24:59.024000Z,2024-11-24T16:26:21.024000Z,2023-10-11,NaN,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20231011T162211_20231011T163555_T16QCE,NaN,NaN,NaN,17.318935819247134,-88.4012377579848,N/A,EPSG:32616
EMSR437_2_30TXP_x666715_y4841105_S2L2A,2020-04-03T10:56:21.025000Z,2020-05-03T10:56:21.024000Z,2020-05-13T10:56:21.024000Z,2020-05-18T10:56:19.024000Z,2019-03-30,NaN,2019-05-14,2019-05-14,COPERNICUS/S2_SR_HARMONIZED/20190330T105631_20190330T110608_T30TXP,NaN,COPERNICUS/S2_SR_HARMONIZED/20190514T105629_20190514T105747_T30TXP,COPERNICUS/S2_SR_HARMONIZED/20190514T105629_20190514T105747_T30TXP,43.692482904065365,-0.9154435706673143,N/A,EPSG:32630
EMSR261_1_32UNC_x539305_y5788515_S2L2A,2017-10-15T10:40:09.027000Z,2017-10-27T10:31:31.026000Z,2017-12-16T10:34:31.026000Z,2017-12-26T10:34:31.026000Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.234078860378844,9.594216614552582,N/A,EPSG:32632
EMSR554_1_56JLP_x302395_y6851775_S2L2A,2021-10-16T00:02:39.024000Z,2021-11-15T00:02:39.024000Z,2021-12-05T00:02:39.024000Z,2021-12-10T00:02:41.024000Z,2020-10-16,2020-11-05,2020-11-30,2020-11-30,COPERNICUS/S2_SR_HARMONIZED/20201016T000251_20201016T000246_T56JLP,COPERNICUS/S2_SR_HARMONIZED/20201105T000251_20201105T000245_T56JKP,COPERNICUS/S2_SR_HARMONIZED/20201130T000239_20201130T000239_T56JKP,COPERNICUS/S2_SR_HARMONIZED/20201130T000239_20201130T000239_T56JKP,-28.45730983600724,150.99489967551466,N/A,EPSG:32756
EMSR184_4_55HCD_x368665_y6306575_S2L2A,2016-08-14T00:21:12.026000Z,2016-09-23T00:21:02.026000Z,2016-10-03T00:25:52.026000Z,2016-12-12T00:21:02.026000Z,NaN,NaN,NaN,2015-12-18,NaN,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20151218T002552_20151218T002554_T55HCD,-33.38371223406049,145.60170161782443,N/A,EPSG:32755
EMSR419_6_40RFR_x693875_y3055795_S2L2A,2019-11-22T06:41:59.024000Z,2019-12-12T06:42:49.024000Z,2020-01-16T06:42:21.024000Z,2020-01-31T06:41:09.026000Z,2018-11-22,2018-12-12,2019-01-21,2019-01-21,COPERNICUS/S2_SR_HARMONIZED/20181122T064151_20181122T064153_T40RFR,COPERNICUS/S2_SR_HARMONIZED/20181212T064251_20181212T064246_T40RFR,COPERNICUS/S2_SR_HARMONIZED/20190121T064201_20190121T064159_T40RFR,COPERNICUS/S2_SR_HARMONIZED/20190121T064201_20190121T064159_T40RFR,27.600594559757567,58.977325389415945,N/A,EPSG:32640
EMSR312_6_51QUU_x371405_y1889055_S2L2A,2018-06-27T02:16:01.024000Z,2018-08-16T02:16:01.024000Z,2018-09-20T02:15:59.024000Z,2018-10-15T02:16:41.024000Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.070821635808638,121.80349165419254,N/A,EPSG:32651
EMSR347_6_36LXJ_x653175_y8300825_S2L2A,2019-01-29T07:41:51.024000Z,2019-02-28T07:38:41.024000Z,2019-03-10T07:37:31.024000Z,2019-03-30T07:36:11.024000Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15.37619592525355,34.439060477204194,N/A,EPSG:32736
EMSR280_3_33VWH_x528805_y6700355_S2L2A,2018-03-18T10:20:19.027000Z,2018-04-12T10:20:21.026000Z,2018-05-17T10:20:19.027000Z,2018-06-04T10:30:21.024000Z,NaN,NaN,2017-05-10,2017-05-27,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20170510T103031_20170510T103025_T33VWH,COPERNICUS/S2_SR_HARMONIZED/20170527T102031_20170527T102301_T33VWH,60.426896887797845,15.54634202270587,N/A,EPSG:32633
EMSR712_6_32UNC_x561195_y5755515_S2L2A,2023-11-10T10:31:59.024000Z,2023-11-10T10:31:59.024000Z,2023-12-27T10:23:39.024000Z,2024-01-09T10:33:29.024000Z,2022-11-02,2022-11-02,2022-12-17,NaN,COPERNICUS/S2_SR_HARMONIZED/20221102T102059_20221102T102101_T32UNC,COPERNICUS/S2_SR_HARMONIZED/20221102T102059_20221102T102101_T32UNC,COPERNICUS/S2_SR_HARMONIZED/20221217T102431_20221217T102432_T32UNC,NaN,51.935370508083814,9.908672049501137,N/A,EPSG:32632
EMSR203_2_15SVA_x416365_y4081125_S2L2A,2017-03-08T17:03:01.026000Z,2017-03-08T17:03:01.026000Z,2017-05-07T17:03:11.026000Z,2017-06-16T17:03:11.026000Z,NaN,NaN,NaN,2016-06-21,NaN,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20160621T170312_20160621T170807_T15SVA,36.860989112058554,-93.92395154298664,N/A,EPSG:32615
EMSR483_3_33SXD_x667545_y4349965_S2L2A,2020-10-11T09:40:39.024000Z,2020-10-31T09:41:39.024000Z,2020-11-25T09:43:31.024000Z,2020-12-15T09:44:11.024000Z,2019-10-02,2019-10-22,2019-11-21,NaN,COPERNICUS/S2_SR_HARMONIZED/20191002T094031_20191002T094033_T33SXD,COPERNICUS/S2_SR_HARMONIZED/20191022T094041_20191022T094344_T33SXD,COPERNICUS/S2_SR_HARMONIZED/20191121T094311_20191121T094342_T33SXD,NaN,39.27112754167756,16.957022911005577,N/A,EPSG:32633
EMSR482_5_16PFC_x634465_y1763965_S2L2A,2020-09-28T16:09:49.024000Z,2020-11-12T16:15:31.024000Z,2020-11-22T16:16:11.024000Z,2020-12-14T16:06:49.024000Z,2019-09-26,2019-11-05,2019-11-30,2019-12-15,COPERNICUS/S2_SR_HARMONIZED/20190926T160021_20190926T160854_T16PFC,COPERNICUS/S2_SR_HARMONIZED/20191105T160441_20191105T161109_T16PFC,COPERNICUS/S2_SR_HARMONIZED/20191130T160619_20191130T160655_T16PFC,COPERNICUS/S2_SR_HARMONIZED/20191215T160651_20191215T161517_T16PFC,15.939808819194317,-85.73176948146491,N/A,EPSG:32616
EMSR472_1_48QXE_x629305_y1980975_S2L2A,2020-09-05T03:25:41.024000Z,2020-09-15T03:25:41.024000Z,2020-10-20T03:27:49.024000Z,2020-10-22T03:18:01.024000Z,2019-09-03,2019-09-08,2019-10-23,2019-10-23,COPERNICUS/S2_SR_HARMONIZED/20190903T031539_20190903T033015_T48QXE,COPERNICUS/S2_SR_HARMONIZED/20190908T031541_20190908T031647_T48QXE,COPERNICUS/S2_SR_HARMONIZED/20191023T031759_20191023T032544_T48QXE,COPERNICUS/S2_SR_HARMONIZED/20191023T031759_20191023T032544_T48QXE,17.90132132015367,106.23272388972399,N/A,EPSG:32648
EMSR498_1_31TDK_x415665_y4988795_S2L2A,2020-12-06T10:54:31.024000Z,2021-01-10T10:53:29.024000Z,2021-02-04T10:52:41.024000Z,2021-03-01T10:48:59.025000Z,2019-12-02,2020-01-06,2020-02-05,2020-02-20,COPERNICUS/S2_SR_HARMONIZED/20191202T105421_20191202T105436_T31TDK,COPERNICUS/S2_SR_HARMONIZED/20200106T105339_20200106T105431_T31TDK,COPERNICUS/S2_SR_HARMONIZED/20200205T105129_20200205T105627_T31TDK,COPERNICUS/S2_SR_HARMONIZED/20200220T105051_20200220T105429_T31TDK,45.036266369423515,1.9454782295360806,N/A,EPSG:32631
EMSR417_1_29TNE_x543545_y4441365_S2L2A,2019-10-22T11:21:21.024000Z,2019-12-11T11:24:51.024000Z,2019-12-24T11:35:01.024000Z,2020-01-05T11:23:49.024000Z,2018-10-27,2018-12-06,2018-12-26,2018-12-26,COPERNICUS/S2_SR_HARMONIZED/20181027T112151_20181027T112438_T29TNE,COPERNICUS/S2_SR_HARMONIZED/20181206T112431_20181206T112434_T29TNE,COPERNICUS/S2_SR_HARMONIZED/20181226T112451_20181226T112453_T29TNE,COPERNICUS/S2_SR_HARMONIZED/20181226T112451_20181226T112453_T29TNE,40.109920852811435,-8.474084877092197,N/A,EPSG:32629
EMSR265_23_31TDN_x462805_y5286605_S2L2A,2017-12-12T10:54:41.026000Z,2018-01-16T10:53:59.027000Z,2018-01-29T11:03:09.027000Z,2018-02-25T10:50:19.027000Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.72034884657765,2.5210517806834503,N/A,EPSG:32631
EMSR229_5_15RUP_x394025_y3302975_S2L2A,2017-07-08T16:53:09.027000Z,2017-07-28T16:48:59.027000Z,2017-09-06T16:48:49.027000Z,2017-10-01T16:53:11.026000Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.841362205029082,-94.08381002619655,N/A,EPSG:32615
EMSR261_1_32UNC_x544425_y5793635_S2L2A,2017-10-15T10:40:09.027000Z,2017-10-27T10:31:31.026000Z,2017-12-16T10:34:31.026000Z,2017-12-26T10:34:31.026000Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.279706217127924,9.669877120258748,N/A,EPSG:32632
EMSR421_3_31TDH_x410455_y4773035_S2L2A,2019-11-27T10:53:09.024000Z,2020-01-11T10:54:21.024000Z,2020-01-23T10:42:29.024000Z,2020-02-20T10:50:51.024000Z,2018-11-17,2019-01-03,2019-01-16,2019-02-20,COPERNICUS/S2_SR_HARMONIZED/20181117T105321_20181117T105429_T31TDH,COPERNICUS/S2_SR_HARMONIZED/20190103T104431_20190103T104708_T31TDH,COPERNICUS/S2_SR_HARMONIZED/20190116T105401_20190116T105431_T31TDH,COPERNICUS/S2_SR_HARMONIZED/20190220T105059_20190220T105057_T31TDH,43.09342152540406,1.9154032769899878,N/A,EPSG:32631
EMSR706_1_31UDS_x449045_y5624315_S2L2A,2023-09-07T10:46:29.024000Z,2023-10-15T11:00:11.024000Z,2023-11-24T11:03:51.024000Z,2023-12-06T10:53:39.024000Z,2022-08-31,2022-10-20,2022-12-01,2022-12-01,COPERNICUS/S2_SR_HARMONIZED/20220831T105631_20220831T105849_T31UDS,COPERNICUS/S2_SR_HARMONIZED/20221020T110101_20221020T110057_T31UDS,COPERNICUS/S2_SR_HARMONIZED/20221201T105319_20221201T105320_T31UDS,COPERNICUS/S2_SR_HARMONIZED/20221201T105319_20221201T105320_T31UDS,50.757005130931475,2.2956700834833095,N/A,EPSG:32631
EMSR347_6_36LYJ_x699965_y8305745_S2L2A,2019-01-09T07:43:01.024000Z,2019-02-28T07:38:41.024000Z,2019-03-10T07:37:31.024000Z,2019-03-30T07:36:11.024000Z,2017-12-30,NaN,NaN,NaN,COPERNICUS/S2_SR_HARMONIZED/20171230T074319_20171230T075758_T36LXJ,NaN,NaN,NaN,-15.32849535165668,34.874473034299484,N/A,EPSG:32736
EMSR264_1_39LTF_x303425_y8547865_S2L2A,2017-12-02T07:02:19.027000Z,2017-12-07T07:02:31.026000Z,2018-01-11T07:02:29.027000Z,2018-02-15T07:02:31.026000Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-13.140848561478412,49.198273166632056,N/A,EPSG:32739
EMSR311_3_17SPT_x686025_y3769255_S2L2A,2018-08-09T15:49:01.024000Z,2018-08-24T15:48:09.024000Z,2018-09-21T15:59:41.024000Z,2018-10-13T15:52:09.024000Z,2017-08-12,NaN,2017-09-13,2017-10-03,COPERNICUS/S2_SR_HARMONIZED/20170812T155859_20170812T161233_T17SPT,NaN,COPERNICUS/S2_SR_HARMONIZED/20170913T154901_20170913T160335_T17SPT,COPERNICUS/S2_SR_HARMONIZED/20171003T155051_20171003T155835_T17SPT,34.03578183375777,-78.97110711502113,N/A,EPSG:32617
EMSR793_1_37LED_x596825_y8323065_S2L2A,2025-01-16T07:21:39.024000Z,2025-02-15T07:19:09.024000Z,2025-03-12T07:17:31.025000Z,2025-03-27T07:16:19.024000Z,NaN,2024-02-16,2024-03-07,2024-03-17,NaN,COPERNICUS/S2_SR_HARMONIZED/20240216T072001_20240216T074227_T37LED,COPERNICUS/S2_SR_HARMONIZED/20240307T071741_20240307T074231_T37LED,COPERNICUS/S2_SR_HARMONIZED/20240317T071631_20240317T074230_T37LED,-15.177923718863667,39.91322068180991,N/A,EPSG:32737
