Nome_Serie,Data_1,Data_2,Data_3,Data_4,BBox_1,BBox_2,BBox_3,BBox_4,Lat_Centro,Lon_Centro,EPSG
EMSR347_6_36LXH_x683775_y8278755_S1RTC,2019-01-25T16:08:25.585999Z,2019-03-02T16:08:11.041337Z,2019-03-14T16:08:14.257407Z,2019-03-20T16:08:55.749185Z,"[542570.0, 8278000.0, 829580.0, 8502340.0]","[563110.0, 8184590.0, 850130.0, 8409170.0]","[558550.0, 8206610.0, 847240.0, 8431570.0]","[561050.0, 8204700.0, 845180.0, 8428650.0]",-15.573611979936993,34.72573794500224,EPSG:32736
EMSR657_1_35UMB_x471625_y6191905_S1RTC,2023-01-31T16:04:19.224075Z,2023-03-17T04:27:26.269182Z,2023-04-08T15:55:58.068044Z,2023-04-25T16:04:19.742198Z,"[236360.0, 6089820.0, 526730.0, 6296870.0]","[385490.0, 6028850.0, 676510.0, 6240200.0]","[377990.0, 6023100.0, 666630.0, 6262230.0]","[236450.0, 6089860.0, 526760.0, 6296900.0]",55.86042326983863,26.5670385833467,EPSG:32635
EMSR279_2_30TWN_x593785_y4724295_S1RTC,2018-02-16T06:17:15.759934Z,2018-03-31T18:02:58.228436Z,2018-04-17T06:17:16.634529Z,2018-05-06T18:02:59.656574Z,"[389710.0, 4692220.0, 680510.0, 4902780.0]","[420420.0, 4658070.0, 710120.0, 4871240.0]","[389750.0, 4692160.0, 680510.0, 4902720.0]","[420430.0, 4658080.0, 710190.0, 4871260.0]",42.65377328222435,-1.840236265538121,EPSG:32630
EMSR279_1_30TWN_x559895_y4762255_S1RTC,2018-02-28T06:17:15.738139Z,2018-03-31T18:02:58.228436Z,2018-04-17T06:17:16.634529Z,2018-04-29T06:17:17.269028Z,"[389730.0, 4692200.0, 680510.0, 4902760.0]","[420420.0, 4658070.0, 710120.0, 4871240.0]","[389750.0, 4692160.0, 680510.0, 4902720.0]","[389670.0, 4692170.0, 680430.0, 4902710.0]",42.999027359893745,-2.24953813014614,EPSG:32630
EMSR554_1_56JLP_x302395_y6851775_S1RTC,2021-10-14T19:14:36.752872Z,2021-11-12T19:22:54.857573Z,2021-12-01T19:14:35.764548Z,2021-12-06T19:22:53.960597Z,"[262430.0, 6741360.0, 563430.0, 6974730.0]","[54950.0, 6708690.0, 353190.0, 6938360.0]","[262540.0, 6741340.0, 563510.0, 6974720.0]","[54970.0, 6708680.0, 353200.0, 6938350.0]",-28.45730983600724,150.99489967551466,EPSG:32756
EMSR280_3_33VWH_x551845_y6720835_S1RTC,2018-03-18T05:22:59.961432Z,2018-04-11T05:23:00.638514Z,2018-05-17T05:23:02.286998Z,2018-06-04T05:22:33.486983Z,"[355520.0, 6641460.0, 648340.0, 6856450.0]","[355540.0, 6641460.0, 648330.0, 6856430.0]","[355520.0, 6641450.0, 648320.0, 6856430.0]","[341410.0, 6547640.0, 634630.0, 6789270.0]",60.608379054866475,15.97024495392562,EPSG:32633
EMSR200_2_55KFT_x672095_y7748185_S1RTC,2017-02-16T19:36:34.044426Z,2017-03-12T19:36:34.212385Z,2017-03-30T19:35:39.392270Z,2017-04-05T19:36:34.848048Z,"[466530.0, 7595610.0, 764010.0, 7827090.0]","[466500.0, 7595590.0, 764000.0, 7827070.0]","[495590.0, 7670020.0, 788810.0, 7925300.0]","[466480.0, 7595590.0, 763990.0, 7827080.0]",-20.368091216723727,148.6610922898973,EPSG:32755
EMSR472_1_48QXE_x629305_y1980975_S1RTC,2020-09-04T22:43:55.230137Z,2020-09-15T22:51:17.220243Z,2020-10-18T11:05:19.895613Z,2020-10-21T22:51:13.112209Z,"[594240.0, 1834130.0, 877220.0, 2073130.0]","[388370.0, 1900940.0, 672750.0, 2141710.0]","[486670.0, 1741610.0, 771370.0, 1958490.0]","[390800.0, 1914250.0, 681410.0, 2187350.0]",17.90132132015367,106.23272388972399,EPSG:32648
EMSR264_9_39KTU_x275275_y7819035_S1RTC,2017-11-08T02:11:15.681273Z,2017-12-26T02:11:39.144580Z,2018-01-12T15:17:35.891738Z,2018-01-31T02:11:37.922495Z,"[231340.0, 7772390.0, 521380.0, 7999050.0]","[192680.0, 7605920.0, 482420.0, 7832640.0]","[69940.0, 7733910.0, 359640.0, 7964790.0]","[192690.0, 7605900.0, 482430.0, 7832620.0]",-19.723068345806453,48.86796045353948,EPSG:32739
EMSR264_17_38KMD_x442085_y7836255_S1RTC,2017-12-05T02:36:10.217218Z,2017-12-12T02:27:54.934084Z,2018-01-11T02:27:03.804252Z,2018-02-10T02:27:52.992213Z,"[193110.0, 7678820.0, 480190.0, 7904500.0]","[408140.0, 7687500.0, 697300.0, 7916340.0]","[421240.0, 7741440.0, 711540.0, 7970200.0]","[408090.0, 7687510.0, 697260.0, 7916350.0]",-19.57932536493089,44.45996202772607,EPSG:32738
EMSR712_8_32UND_x581835_y5811155_S1RTC,2023-11-16T05:34:21.418016Z,2023-11-26T17:01:00.739944Z,2023-12-25T17:09:16.656836Z,2024-01-06T17:09:16.264194Z,"[423860.0, 5655570.0, 713750.0, 5864590.0]","[547150.0, 5673550.0, 842700.0, 5894690.0]","[403770.0, 5696490.0, 695140.0, 5910830.0]","[403670.0, 5696490.0, 695030.0, 5910840.0]",52.4327994927785,10.222471861143399,EPSG:32632
EMSR777_1_16QCE_x349815_y1916655_S1RTC,2024-10-05T00:07:30.143595Z,2024-11-10T00:07:30.178008Z,2024-11-22T00:07:29.386850Z,2024-12-04T00:07:28.528988Z,"[104500.0, 1843880.0, 389320.0, 2056980.0]","[104442.61001140675, 2056050.8917404204, 382662.61001140677, 1844160.8917404204]","[104521.6318054633, 2057247.2875109075, 389471.6318054633, 1844177.2875109075]","[104574.99173513109, 2057240.5486763774, 389514.9917351311, 1844170.5486763774]",17.318935819247134,-88.4012377579848,EPSG:32616
EMSR706_1_31UDS_x449045_y5624315_S1RTC,2023-09-08T05:59:27.753894Z,2023-10-19T06:07:38.371267Z,2023-11-24T06:07:37.184854Z,2023-12-06T06:07:37.028867Z,"[383620.0, 5485950.0, 673310.0, 5696620.0]","[240950.0, 5508820.0, 534700.0, 5725920.0]","[241080.0, 5508830.0, 534840.0, 5725920.0]","[241010.0, 5508830.0, 534770.0, 5725930.0]",50.757005130931475,2.2956700834833095,EPSG:32631
EMSR437_2_30TXP_x666715_y4841105_S1RTC,2020-04-02T17:56:06.368749Z,2020-04-19T06:08:27.422008Z,2020-05-13T06:08:31.304978Z,2020-05-18T06:16:43.329948Z,"[548470.0, 4839260.0, 839170.0, 5057500.0]","[567640.0, 4742050.0, 852480.0, 4945900.0]","[560800.0, 4722880.0, 850480.0, 4927230.0]","[396090.0, 4730160.0, 687700.0, 4940530.0]",43.692482904065365,-0.9154435706673143,EPSG:32630
EMSR421_3_31TDH_x410455_y4773035_S1RTC,2019-11-28T06:01:19.474398Z,2020-01-10T17:46:41.999684Z,2020-01-22T17:46:41.605521Z,2020-02-20T06:01:06.848270Z,"[219750.0, 4587160.0, 508560.0, 4802900.0]","[270650.0, 4645080.0, 556380.0, 4853640.0]","[270620.0, 4645080.0, 556350.0, 4853640.0]","[228400.0, 4652060.0, 520910.0, 4868200.0]",43.09342152540406,1.9154032769899878,EPSG:32631
EMSR417_1_29TNE_x543545_y4441365_S1RTC,2019-10-24T06:42:59.487373Z,2019-12-05T06:42:31.055753Z,2019-12-24T06:33:56.481025Z,2020-01-10T06:42:15.537358Z,"[325090.0, 4379980.0, 610400.0, 4592360.0]","[305530.0, 4286200.0, 595030.0, 4499900.0]","[504930.0, 4425460.0, 791130.0, 4632950.0]","[324970.0, 4380470.0, 610360.0, 4592840.0]",40.109920852811435,-8.474084877092197,EPSG:32629
EMSR348_1_37KBA_x280055_y8022345_S1RTC,2019-02-01T03:00:26.557896Z,2019-02-25T03:00:26.091236Z,2019-03-21T03:00:26.130672Z,2019-04-14T15:59:21.833235Z,"[219660.0, 7874830.0, 509970.0, 8101100.0]","[219590.0, 7874840.0, 509910.0, 8101120.0]","[219630.0, 7874820.0, 509950.0, 8101100.0]","[194270.0, 7928660.0, 488670.0, 8183690.0]",-17.88732717076196,36.9360701070793,EPSG:32737
EMSR419_6_40RFR_x693875_y3055795_S1RTC,2019-11-22T01:58:45.873895Z,2019-12-19T14:08:28.878134Z,2020-01-14T02:06:30.430879Z,2020-01-30T14:09:09.514688Z,"[626780.0, 2872590.0, 906110.0, 3081300.0]","[535860.0, 2923160.0, 820120.0, 3139290.0]","[453090.0, 3049490.0, 736090.0, 3260980.0]","[534790.0, 2926690.0, 821910.0, 3143210.0]",27.600594559757567,58.977325389415945,EPSG:32640
EMSR280_3_33VWH_x528805_y6700355_S1RTC,2018-03-18T05:22:59.961432Z,2018-04-11T05:23:00.638514Z,2018-05-17T05:23:02.286998Z,2018-06-04T05:22:33.486983Z,"[355520.0, 6641460.0, 648340.0, 6856450.0]","[355540.0, 6641460.0, 648330.0, 6856430.0]","[355520.0, 6641450.0, 648320.0, 6856430.0]","[341410.0, 6547640.0, 634630.0, 6789270.0]",60.426896887797845,15.54634202270587,EPSG:32633
EMSR712_6_32UNC_x561195_y5755515_S1RTC,2023-11-11T05:26:08.616591Z,2023-11-28T05:34:20.691824Z,2024-01-03T05:34:18.967777Z,2024-01-27T05:34:18.191638Z,"[148590.0, 5646540.0, 444830.0, 5868030.0]","[423940.0, 5655570.0, 713840.0, 5864580.0]","[424020.0, 5655560.0, 713910.0, 5864580.0]","[423870.0, 5655570.0, 713750.0, 5864590.0]",51.935370508083814,9.908672049501137,EPSG:32633
EMSR243_2_19QGV_x783155_y1992115_S1RTC,2017-07-28T10:22:53.415896Z,2017-08-23T22:36:37.424666Z,2017-09-22T22:35:44.788538Z,2017-10-22T22:36:38.959040Z,"[513230.0, 1889040.0, 792120.0, 2101850.0]","[577980.0, 1918290.0, 859220.0, 2135280.0]","[593830.0, 1839920.0, 876470.0, 2057440.0]","[577860.0, 1918290.0, 859110.0, 2135280.0]",17.9872983690965,-66.3142099475041,EPSG:32619
EMSR482_5_16PFC_x634465_y1763965_S1RTC,2020-09-26T23:58:25.809841Z,2020-11-08T23:50:23.963766Z,2020-11-20T23:50:23.690095Z,2020-12-14T23:50:22.854126Z,"[370510.0, 1588490.0, 656230.0, 1804200.0]","[569110.0, 1639900.0, 861290.0, 1911320.0]","[569050.0, 1639900.0, 861280.0, 1911570.0]","[569120.0, 1639890.0, 861340.0, 1911530.0]",15.939808819194317,-85.73176948146491,EPSG:32616
EMSR483_3_33SXD_x667545_y4349965_S1RTC,2020-10-13T04:56:14.771609Z,2020-10-31T16:48:50.420258Z,2020-11-24T16:48:49.708533Z,2020-12-12T16:48:08.368604Z,"[552010.0, 4339900.0, 835750.0, 4545800.0]","[550510.0, 4201140.0, 843830.0, 4419260.0]","[550470.0, 4201120.0, 843800.0, 4419250.0]","[547840.0, 4208130.0, 842530.0, 4426200.0]",39.27112754167756,16.957022911005577,EPSG:32633
EMSR311_3_17SPT_x686025_y3769255_S1RTC,2018-08-07T23:22:15.781412Z,2018-08-26T23:14:02.337573Z,2018-09-19T23:14:03.257067Z,2018-10-13T23:14:03.758381Z,"[405350.0, 3683720.0, 689780.0, 3896880.0]","[594510.0, 3678250.0, 881860.0, 3896070.0]","[594460.0, 3678260.0, 881820.0, 3896080.0]","[594390.0, 3678240.0, 881760.0, 3896070.0]",34.03578183375777,-78.97110711502113,EPSG:32617
EMSR498_1_31TDK_x415665_y4988795_S1RTC,2020-12-16T06:00:50.295132Z,2021-01-10T17:48:02.613311Z,2021-02-02T06:00:48.199538Z,2021-02-27T17:48:01.251501Z,"[261030.0, 4818660.0, 551210.0, 5033860.0]","[236640.0, 4864680.0, 521090.0, 5071650.0]","[261140.0, 4818650.0, 551310.0, 5033850.0]","[236600.0, 4864670.0, 521050.0, 5071630.0]",45.036266369423515,1.9454782295360806,EPSG:32631
EMSR261_1_32UNC_x539305_y5788515_S1RTC,2017-10-15T17:08:00.031989Z,2017-10-28T17:00:25.952471Z,2017-12-17T05:33:44.589471Z,2017-12-29T05:33:43.979322Z,"[407050.0, 5689890.0, 695630.0, 5903730.0]","[546960.0, 5673550.0, 842510.0, 5894700.0]","[424090.0, 5655710.0, 713160.0, 5864580.0]","[424210.0, 5655700.0, 713290.0, 5864570.0]",52.234078860378844,9.594216614552582,EPSG:32632
EMSR184_4_55HCD_x368665_y6306575_S1RTC,2016-08-15T19:32:02.808085Z,2016-09-08T19:32:03.733594Z,2016-10-04T09:03:14.863150Z,2016-12-01T19:31:55.554061Z,"[285500.0, 6137240.0, 583450.0, 6373010.0]","[285460.0, 6137260.0, 583410.0, 6373030.0]","[172210.0, 6131140.0, 471570.0, 6395750.0]","[298660.0, 6191810.0, 598160.0, 6428090.0]",-33.38371223406049,145.60170161782443,EPSG:32755
EMSR203_2_15SVA_x416365_y4081125_S1RTC,2017-03-09T00:20:08.325506Z,2017-04-09T00:12:14.316511Z,2017-05-03T00:12:15.533614Z,2017-06-08T00:12:17.555472Z,"[154060.0, 3892770.0, 434140.0, 4099140.0]","[316240.0, 4013680.0, 598740.0, 4223940.0]","[316200.0, 4013660.0, 598700.0, 4223920.0]","[316290.0, 4013680.0, 598790.0, 4223940.0]",36.860989112058554,-93.92395154298664,EPSG:32615
EMSR312_6_51QUU_x371405_y1889055_S1RTC,2018-07-18T21:46:08.904135Z,2018-08-23T21:46:10.873938Z,2018-09-16T21:46:11.977718Z,2018-10-10T21:46:12.521013Z,"[203400.0, 1811700.0, 487090.0, 2028590.0]","[203400.0, 1811690.0, 487090.0, 2028580.0]","[203370.0, 1811690.0, 487060.0, 2028580.0]","[203390.0, 1811680.0, 487080.0, 2028570.0]",17.070821635808638,121.80349165419254,EPSG:32651
EMSR347_6_36LXJ_x653175_y8300825_S1RTC,2019-01-25T16:08:25.585999Z,2019-03-02T16:08:11.041337Z,2019-03-13T03:15:11.196969Z,2019-03-31T03:16:03.666498Z,"[542570.0, 8278000.0, 829580.0, 8502340.0]","[563110.0, 8184590.0, 850130.0, 8409170.0]","[511840.0, 8242750.0, 812950.0, 8537580.0]","[498470.0, 8208460.0, 789080.0, 8436530.0]",-15.37619592525355,34.439060477204194,EPSG:32736
EMSR779_1_33PVM_x472755_y1150455_S1RTC,2024-09-24T04:48:06.231270Z,2024-10-30T04:48:06.792731Z,2024-11-23T04:48:05.473448Z,2024-12-29T04:48:02.775320Z,"[395700.0, 1082790.0, 675230.0, 1298790.0]","[395804.2687601462, 1298942.9388029925, 675294.2687601462, 1082952.9388029925]","[395853.56121499266, 1298951.8783755964, 675343.5612149927, 1082961.8783755964]","[395684.7595838943, 1298947.7430902612, 675164.7595838943, 1082967.7430902612]",10.395765978785708,14.762745656009873,EPSG:32633
EMSR229_5_15RUP_x394025_y3302975_S1RTC,2017-06-25T00:18:33.478744Z,2017-07-31T00:18:35.554783Z,2017-09-05T00:18:37.155898Z,2017-09-29T00:18:37.922334Z,"[263220.0, 3221240.0, 545050.0, 3431890.0]","[263130.0, 3221250.0, 544960.0, 3431890.0]","[263240.0, 3221260.0, 545070.0, 3431900.0]","[263040.0, 3221230.0, 544910.0, 3431890.0]",29.841362205029082,-94.08381002619655,EPSG:32615
EMSR475_2_48QWF_x590345_y2031395_S1RTC,2020-08-31T11:05:43.738415Z,2020-10-03T22:52:04.861409Z,2020-10-30T11:05:44.912522Z,2020-11-20T22:52:04.530489Z,"[455320.0, 1908760.0, 737760.0, 2125060.0]","[383890.0, 1878850.0, 663480.0, 2093040.0]","[455320.0, 1908770.0, 737800.0, 2125060.0]","[383890.0, 1878860.0, 663490.0, 2093050.0]",18.35897246240132,105.86720623554031,EPSG:32648
EMSR793_1_37LED_x596825_y8323065_S1RTC,2025-01-19T02:51:36.179224Z,2025-02-24T02:51:34.835252Z,2025-03-20T02:51:35.225157Z,2025-04-01T02:51:35.598614Z,"[536260.0, 8267600.0, 822930.0, 8494270.0]","[536260.0, 8267600.0, 822950.0, 8494280.0]","[536150.0, 8267610.0, 822850.0, 8494290.0]","[536080.0, 8267600.0, 822770.0, 8494280.0]",-15.177923718863667,39.91322068180991,EPSG:32737
EMSR422_1_31TDG_x489245_y4617615_S1RTC,2019-11-24T17:38:40.431579Z,2020-01-10T17:46:16.999907Z,2020-01-28T05:52:33.335352Z,2020-02-21T17:47:05.415714Z,"[477250.0, 4431450.0, 762590.0, 4646100.0]","[299050.0, 4477400.0, 584270.0, 4687150.0]","[373020.0, 4509570.0, 664810.0, 4721700.0]","[292650.0, 4529460.0, 569820.0, 4738010.0]",41.6987866334292,2.8860673396005523,EPSG:32631
EMSR265_23_31TDN_x462805_y5286605_S1RTC,2017-12-13T06:07:51.161540Z,2018-01-15T17:39:34.536572Z,2018-01-27T17:39:34.106934Z,2018-02-24T05:58:43.086859Z,"[172610.0, 5176730.0, 467120.0, 5395830.0]","[342410.0, 5172570.0, 625660.0, 5382680.0]","[342370.0, 5172560.0, 625620.0, 5382670.0]","[340720.0, 5245120.0, 633170.0, 5457740.0]",47.72034884657765,2.5210517806834503,EPSG:32631
EMSR427_4_33VUE_x679215_y6407325_S1RTC,2020-01-05T05:40:07.296173Z,2020-01-24T05:32:16.074579Z,2020-02-29T05:32:15.474767Z,2020-03-24T05:32:15.543025Z,"[432380.0, 6458770.0, 723150.0, 6697450.0]","[168000.0, 6316240.0, 464720.0, 6540280.0]","[168110.0, 6316240.0, 464800.0, 6540260.0]","[167920.0, 6316240.0, 464580.0, 6540270.0]",57.76014365768988,12.033855366591288,EPSG:32632
EMSR347_6_36LYJ_x699965_y8305745_S1RTC,2019-01-13T16:08:01.024124Z,2019-03-02T16:08:11.041337Z,2019-03-13T03:15:11.196969Z,2019-03-31T03:16:03.666498Z,"[578870.0, 8111120.0, 866300.0, 8335600.0]","[563110.0, 8184590.0, 850130.0, 8409170.0]","[511840.0, 8242750.0, 812950.0, 8537580.0]","[498470.0, 8208460.0, 789080.0, 8436530.0]",-15.32849535165668,34.874473034299484,EPSG:32736
EMSR470_1_31PBM_x231615_y1165555_S1RTC,2020-08-21T18:10:23.084112Z,2020-09-20T18:11:33.895327Z,2020-10-20T05:45:05.717770Z,2020-10-20T18:10:52.249720Z,"[113470.0, 897530.0, 393860.0, 1113340.0]","[78130.0, 1082680.0, 358130.0, 1297570.0]","[113440.0, 987840.0, 383170.0, 1154720.0]","[74890.0, 1065350.0, 361470.0, 1315320.0]",10.523022056731522,0.5594538408634573,EPSG:32631
