Nome_Serie,Problema,Data_1_org_SAR,Data_2_org_SAR,Data_3_org_SAR,Data_4_org_SAR,Data_1_SAR,Data_2_SAR,Data_3_SAR,Data_4_SAR,ID_1_SAR,ID_2_SAR,ID_3_SAR,ID_4_SAR,Lat_Centro_SAR,Lon_Centro_SAR,EPSG_SAR
EMSR349_1_36KUD_x344535_y7870355_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.26607505194836,31.53278868389305,EPSG:32736
EMSR349_1_36KUD_x347095_y7875475_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.22001190879753,31.557547086479254,EPSG:32736
EMSR349_1_36KUD_x347095_y7878035_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.19688332588294,31.55774876956585,EPSG:32736
EMSR349_1_36KUD_x344535_y7878035_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.19669023574039,31.53340482235356,EPSG:32736
EMSR349_1_36KUD_x347095_y7870355_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.266268893462627,31.557142849639757,EPSG:32736
EMSR349_1_36KUD_x341975_y7878035_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.196493916311773,31.509061170004006,EPSG:32736
EMSR349_1_36KUD_x341975_y7872915_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.24275001170509,31.508643899125797,EPSG:32736
EMSR349_1_36KUD_x344535_y7875475_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.219818568265435,31.53319973798204,EPSG:32736
EMSR349_1_36KUD_x339415_y7875475_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.21942218695183,31.484505931035564,EPSG:32736
EMSR349_1_36KUD_x344535_y7872915_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.24294684035557,31.53299435855842,EPSG:32736
EMSR349_1_36KUD_x341975_y7875475_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.219621994260287,31.50885268453687,EPSG:32736
EMSR349_1_36KUD_x341975_y7870355_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.26587796858365,31.508434813578017,EPSG:32736
EMSR349_1_36KUD_x339415_y7870355_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.26567764353877,31.484081243592765,EPSG:32736
EMSR349_1_36KUD_x347095_y7872915_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.243140431344877,31.557345113232728,EPSG:32736
EMSR349_1_36KUD_x339415_y7878035_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.196294367766587,31.48471781740588,EPSG:32736
EMSR349_1_36KUD_x339415_y7872915_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.242549945563447,31.484293739829837,EPSG:32736
EMSR349_4_36KUD_x360185_y7856265_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.39451188400045,31.6806550020328,EPSG:32736
EMSR349_4_36KUD_x357625_y7861385_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.348075066370196,31.656659706529677,EPSG:32736
EMSR349_4_36KUD_x360185_y7863945_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.325123665507853,31.681213050269022,EPSG:32736
EMSR349_4_36KUD_x352505_y7863945_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.32458039699233,31.608121373764867,EPSG:32736
EMSR349_4_36KUD_x352505_y7866505_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.301451570459857,31.608317130077147,EPSG:32736
EMSR349_4_36KUD_x357625_y7858825_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.371204243174105,31.65647025641924,EPSG:32736
EMSR349_4_36KUD_x352505_y7856265_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.39396651329769,31.607532420304636,EPSG:32736
EMSR349_4_36KUD_x357625_y7866505_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.30181653150096,31.65703779394677,EPSG:32736
EMSR349_4_36KUD_x355065_y7863945_S1RTC,Date duplicate,2019-02-16T16:23:31.876260Z,2019-02-16T16:23:31.876260Z,2019-03-24T03:25:39.405327Z,2019-04-17T16:23:32.571050Z,2018-02-09,2018-02-09,2018-03-17,2018-04-10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180209T162312_20180209T162337_009548_011319_A0F8,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180317T162312_20180317T162337_010073_012471_28C6,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180410T162313_20180410T162338_010423_012FCE_0128,-19.32476473956789,31.63248499184325,EPSG:32736
