Nome_Serie,Problema,Data_1_org_SAR,Data_2_org_SAR,Data_3_org_SAR,Data_4_org_SAR,Data_1_SAR,Data_2_SAR,Data_3_SAR,Data_4_SAR,Lat_Centro_SAR,Lon_Centro_SAR,EPSG_SAR,Data_1_org_OPT,Data_2_org_OPT,Data_3_org_OPT,Data_4_org_OPT,Data_1_OPT,Data_2_OPT,Data_3_OPT,Data_4_OPT,Lat_Centro_OPT,Lon_Centro_OPT,MGRS_Tile_OPT,EPSG_OPT
EMSR150_1_30UXE_x619975_y5978515,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2022-11-10,2022-12-07,2023-01-09,2023-02-05,53.92934273538578,-1.153281911546154,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2022-11-20,2022-12-07,2023-01-09,2023-02-23,53.92934273538578,-1.153281911546154,30UXE,EPSG:32630
EMSR150_1_30UXE_x622535_y5978515,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2024-02-09,2024-03-07,2024-04-09,2024-05-06,53.92873707393284,-1.1143144540361047,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2024-02-23,2024-03-24,2024-04-20,2024-05-13,53.92873707393284,-1.1143144540361047,30UXE,EPSG:32630
EMSR150_1_30UXE_x617415_y5981075,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2022-11-06,2022-12-07,2023-01-05,2023-02-05,53.95293358549049,-1.1912559287693398,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2022-11-20,2022-12-07,2023-01-09,2023-02-23,53.95293358549049,-1.1912559287693398,30UXE,EPSG:32630
EMSR150_1_30UXE_x619975_y5983635,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-04-07,2025-05-10,2025-06-06,2025-07-09,53.97533729223942,-1.1512479553537285,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-04-08,2025-05-12,2025-06-11,2025-07-11,53.97533729223942,-1.1512479553537285,30UXE,EPSG:32630
EMSR150_1_30UXE_x622535_y5986195,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-05-10,2025-06-06,2025-07-09,2025-08-05,53.99772723099911,-1.1111970627436103,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-05-10,2025-06-19,2025-07-11,2025-08-13,53.99772723099911,-1.1111970627436103,30UXE,EPSG:32630
EMSR150_1_30UXE_x622535_y5983635,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2024-01-07,2024-02-09,2024-03-07,2024-04-09,53.974730614282535,-1.1122376409498542,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2024-01-14,2024-02-23,2024-03-24,2024-04-20,53.974730614282535,-1.1122376409498542,30UXE,EPSG:32630
EMSR150_1_30UXE_x622535_y5981075,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-10-06,2025-11-06,2025-12-05,2026-01-05,53.951733895259416,-1.1132767704735351,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-10-12,2025-11-21,2025-12-19,2026-01-05,53.951733895259416,-1.1132767704735351,30UXE,EPSG:32630
EMSR150_1_30UXE_x614855_y5973395,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2021-02-05,2021-03-08,2021-04-06,2021-05-07,53.88451921419717,-1.2331638477938325,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2021-02-15,2021-03-20,2021-04-19,2021-05-21,53.88451921419717,-1.2331638477938325,30UXE,EPSG:32630
EMSR150_1_30UXE_x617415_y5978515,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2022-11-06,2022-12-07,2023-01-05,2023-02-05,53.92993575880264,-1.1922507825684203,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2022-11-20,2022-12-07,2023-01-09,2023-02-23,53.92993575880264,-1.1922507825684203,30UXE,EPSG:32630
EMSR150_1_30UXE_x625095_y5975955,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-04-07,2025-05-10,2025-06-06,2025-07-09,53.90512236983704,-1.0764060611990318,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-04-08,2025-05-10,2025-06-11,2025-07-11,53.90512236983704,-1.0764060611990318,30UXE,EPSG:32630
EMSR150_1_30UXE_x619975_y5981075,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2022-11-10,2022-12-07,2023-01-09,2023-02-05,53.952340064685664,-1.1522656415359736,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2022-11-20,2022-12-07,2023-01-11,2023-02-23,53.952340064685664,-1.1522656415359736,30UXE,EPSG:32630
EMSR150_1_30UXE_x625095_y5988755,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-06-06,2025-07-09,2025-08-05,2025-09-07,54.02010336930284,-1.0711031965938862,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-06-19,2025-07-11,2025-08-13,2025-09-22,54.02010336930284,-1.0711031965938862,30UXE,EPSG:32630
EMSR150_1_30UXE_x627655_y5981075,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-05-10,2025-06-06,2025-07-09,2025-08-05,53.95048361469563,-1.0353033960105904,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-05-12,2025-06-19,2025-07-11,2025-08-13,53.95048361469563,-1.0353033960105904,30UXE,EPSG:32630
EMSR150_1_30UXE_x625095_y5986195,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2023-02-05,2023-03-10,2023-04-06,2023-05-09,53.9971073751628,-1.0721667265631476,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2023-02-15,2023-03-10,2023-04-19,2023-05-21,53.9971073751628,-1.0721667265631476,30UXE,EPSG:32630
EMSR150_1_30UXE_x627655_y5975955,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-07-09,2025-08-05,2025-09-07,2025-10-06,53.90449196398594,-1.0374628982545984,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-07-11,2025-08-13,2025-09-05,2025-10-12,53.90449196398594,-1.0374628982545984,30UXE,EPSG:32630
EMSR150_1_30UXE_x619975_y5986195,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2023-01-09,2023-02-05,2023-03-10,2023-04-06,53.99833441804503,-1.1502288503338949,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2023-01-19,2023-02-23,2023-03-10,2023-04-19,53.99833441804503,-1.1502288503338949,30UXE,EPSG:32630
EMSR150_1_30UXE_x627655_y5986195,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-07-09,2025-08-05,2025-09-07,2025-10-06,53.99647485159408,-1.033137871686525,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-07-11,2025-08-13,2025-09-22,2025-10-12,53.99647485159408,-1.033137871686525,30UXE,EPSG:32630
EMSR150_1_30UXE_x627655_y5988755,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-04-07,2025-05-10,2025-06-06,2025-07-09,54.01947031485073,-1.0320528441568435,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-04-08,2025-05-12,2025-06-19,2025-07-11,54.01947031485073,-1.0320528441568435,30UXE,EPSG:32630
EMSR150_1_30UXE_x625095_y5978515,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2022-12-07,2023-01-09,2023-02-05,2023-03-10,53.92811877547491,-1.0753484397715165,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2022-12-15,2023-01-21,2023-02-15,2023-03-07,53.92811877547491,-1.0753484397715165,30UXE,EPSG:32630
EMSR150_1_30UXE_x630215_y5975955,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-04-07,2025-05-10,2025-06-06,2025-07-09,53.9038489338247,-0.9985212351823995,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-04-08,2025-05-10,2025-06-11,2025-07-11,53.9038489338247,-0.9985212351823995,30UXE,EPSG:32630
EMSR150_1_30UXE_x625095_y5981075,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2023-02-05,2023-03-10,2023-04-06,2023-05-09,53.951115078244605,-1.0742893453710511,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2023-02-23,2023-03-07,2023-04-19,2023-05-16,53.951115078244605,-1.0742893453710511,30UXE,EPSG:32630
EMSR150_1_30UXE_x627655_y5978515,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2023-02-05,2023-03-10,2023-04-06,2023-05-09,53.927487841064526,-1.0363838984786995,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2023-02-23,2023-03-22,2023-04-19,2023-05-21,53.927487841064526,-1.0363838984786995,30UXE,EPSG:32630
EMSR150_1_30UXE_x625095_y5983635,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2022-11-10,2022-12-07,2023-01-09,2023-02-05,53.974111278141976,-1.0732287752273786,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2022-11-20,2022-12-07,2023-01-21,2023-02-23,53.974111278141976,-1.0732287752273786,30UXE,EPSG:32630
EMSR150_1_30UXE_x622535_y5975955,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2021-02-05,2021-03-08,2021-04-06,2021-05-07,53.905740150305874,-1.115350694352058,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2021-02-15,2021-03-20,2021-04-19,2021-05-06,53.905740150305874,-1.115350694352058,30UXE,EPSG:32630
EMSR150_1_30UXE_x627655_y5983635,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2022-11-10,2022-12-07,2023-01-09,2023-02-05,53.973479284873925,-1.034221388024276,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2022-11-20,2022-12-07,2023-01-21,2023-02-23,53.973479284873925,-1.034221388024276,30UXE,EPSG:32630
EMSR150_1_30UXE_x630215_y5986195,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-05-10,2025-06-06,2025-07-09,2025-08-05,53.99582966137254,-0.9941105280006182,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-05-12,2025-06-19,2025-07-11,2025-08-13,53.99582966137254,-0.9941105280006182,30UXE,EPSG:32630
EMSR150_1_30UXE_x630215_y5988755,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-06-06,2025-07-09,2025-08-05,2025-09-07,54.01882458313117,-0.993004005758291,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-06-19,2025-07-11,2025-08-13,2025-09-22,54.01882458313117,-0.993004005758291,30UXE,EPSG:32630
EMSR150_1_30UXE_x630215_y5981075,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-05-10,2025-06-06,2025-07-09,2025-08-05,53.94983950568828,-0.9963189521671286,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-05-12,2025-06-19,2025-07-11,2025-08-13,53.94983950568828,-0.9963189521671286,30UXE,EPSG:32630
EMSR150_1_30UXE_x630215_y5978515,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2024-01-07,2024-02-09,2024-03-07,2024-04-09,53.92684427177568,-0.997420859876892,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2024-01-14,2024-02-23,2024-03-16,2024-04-15,53.92684427177568,-0.997420859876892,30UXE,EPSG:32630
EMSR150_1_30UXE_x632775_y5983635,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-05-10,2025-06-06,2025-07-09,2025-08-05,53.97217733128761,-0.956211168492343,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-05-12,2025-06-19,2025-07-11,2025-08-13,53.97217733128761,-0.956211168492343,30UXE,EPSG:32630
EMSR150_1_30UXE_x630215_y5983635,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-10-06,2025-11-06,2025-12-05,2026-01-05,53.972834635556055,-0.9952155091714,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-10-12,2025-11-21,2025-12-19,2026-01-10,53.972834635556055,-0.9952155091714,30UXE,EPSG:32630
EMSR150_1_30UXE_x632775_y5978515,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-05-10,2025-06-06,2025-07-09,2025-08-05,53.92618806870374,-0.9584593536781152,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-05-12,2025-06-19,2025-07-11,2025-08-13,53.92618806870374,-0.9584593536781152,30UXE,EPSG:32630
EMSR150_1_30UXE_x632775_y5986195,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2025-06-06,2025-07-09,2025-08-05,2025-09-07,53.995171805599256,-0.9550847253850197,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2025-06-19,2025-07-11,2025-08-13,2025-09-22,53.995171805599256,-0.9550847253850197,30UXE,EPSG:32630
EMSR150_1_30UXE_x632775_y5988755,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2023-02-05,2023-03-10,2023-04-06,2023-05-09,54.01816617524715,-0.953956711333963,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2023-02-15,2023-03-10,2023-04-19,2023-05-14,54.01816617524715,-0.953956711333963,30UXE,EPSG:32630
EMSR150_1_30UXE_x632775_y5975955,ERRORE | ERRORE,2015-10-30T06:13:58.718478Z,2015-12-08T17:49:54.812449Z,2016-01-01T17:49:53.851897Z,2016-01-03T06:22:16.619911Z,2021-11-06,2021-12-09,2022-01-05,2022-02-07,53.90319328044683,-0.9595811016388848,EPSG:32631,2015-09-30T11:11:06.027000Z,2015-12-09T11:14:42.031000Z,2015-12-29T11:14:52.029000Z,2016-01-01T11:24:52.029000Z,2021-11-17,2021-12-15,2022-01-14,2022-02-10,53.90319328044683,-0.9595811016388848,30UXE,EPSG:32630
