Nome_Serie,Data_1_org_SAR,Data_2_org_SAR,Data_3_org_SAR,Data_4_org_SAR,Data_1_SAR,Data_2_SAR,Data_3_SAR,Data_4_SAR,Lat_Centro_SAR,Lon_Centro_SAR,EPSG_SAR,Data_1_org_OPT,Data_2_org_OPT,Data_3_org_OPT,Data_4_org_OPT,Data_1_OPT,Data_2_OPT,Data_3_OPT,Data_4_OPT,Lat_Centro_OPT,Lon_Centro_OPT,MGRS_Tile_OPT,EPSG_OPT,month
EMSR150_3_30UWE_x565505_y5977865,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.933391632050665,-1.9828353061720785,EPSG:32630,,,,,,,,,,,,,1
EMSR150_3_30UWE_x565505_y5980425,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.95639728193947,-1.9822753983076111,EPSG:32630,,,,,,,,,,,,,6
EMSR150_3_30UWE_x565505_y5982985,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.97940283918642,-1.981714709861233,EPSG:32630,,,,,,,,,,,,,6
EMSR150_3_30UWE_x565505_y5985545,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,54.00240830380727,-1.9811532393627065,EPSG:32630,,,,,,,,,,,,,9
EMSR150_3_30UWE_x568065_y5967625,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.84103273411096,-1.9461669994515296,EPSG:32630,,,,,,,,,,,,,7
EMSR150_3_30UWE_x568065_y5970185,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.86403847361757,-1.945588867808673,EPSG:32630,,,,,,,,,,,,,4
EMSR150_3_30UWE_x568065_y5972745,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.887044120112,-1.9450099317620864,EPSG:32630,,,,,,,,,,,,,6
EMSR150_3_30UWE_x568065_y5975305,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.910049673609294,-1.944430189800824,EPSG:32630,,,,,,,,,,,,,1
EMSR150_3_30UWE_x568065_y5977865,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.93305513412447,-1.94384964041007,EPSG:32630,,,,,,,,,,,,,3
EMSR150_3_30UWE_x568065_y5980425,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.956060501672646,-1.943268282071133,EPSG:32630,,,,,,,,,,,,,2
EMSR150_3_30UWE_x568065_y5982985,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,53.97906577626891,-1.942686113261429,EPSG:32630,,,,,,,,,,,,,12
EMSR150_3_30UWE_x568065_y5985545,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-03T06:22:16.619911Z,2016-02-01T06:30:28.614832Z,,,,2015-01-30,54.00207095792842,-1.942103132454469,EPSG:32630,,,,,,,,,,,,,12
EMSR150_4_30UWE_x555545_y5946415,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.65193270829596,-2.140320448806861,EPSG:32630,,,,,,,,,,,,,12
EMSR150_4_30UWE_x555545_y5948975,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.67494048180698,-2.1398520698057264,EPSG:32630,,,,,,,,,,,,,5
EMSR150_4_30UWE_x558105_y5946415,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.651648378250215,-2.101593089687433,EPSG:32630,,,,,,,,,,,,,7
EMSR150_4_30UWE_x558105_y5948975,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.67465591392222,-2.101103617642454,EPSG:32630,,,,,,,,,,,,,12
EMSR150_4_30UWE_x558105_y5951535,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.69766335757294,-2.10061346722768,EPSG:32630,,,,,,,,,,,,,3
EMSR150_4_30UWE_x558105_y5954095,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.720670709219206,-2.1001226371759047,EPSG:32630,,,,,,,,,,,,,8
EMSR150_4_30UWE_x558105_y5956655,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.743677968877975,-2.0996311262166905,EPSG:32630,,,,,,,,,,,,,4
EMSR150_4_30UWE_x558105_y5959215,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.766685136566174,-2.099138933076365,EPSG:32630,,,,,,,,,,,,,7
EMSR150_4_30UWE_x560665_y5946415,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.65135152393447,-2.062866407673272,EPSG:32630,,,,,,,,,,,,,6
EMSR150_4_30UWE_x560665_y5948975,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.67435881129446,-2.062355843848439,EPSG:32630,,,,,,,,,,,,,9
EMSR150_4_30UWE_x560665_y5951535,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.69736600636331,-2.06184457243434,EPSG:32630,,,,,,,,,,,,,12
EMSR150_4_30UWE_x560665_y5954095,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.72037310915732,-2.0613325921092183,EPSG:32630,,,,,,,,,,,,,7
EMSR150_4_30UWE_x560665_y5956655,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.74338011969291,-2.060819901547952,EPSG:32630,,,,,,,,,,,,,12
EMSR150_4_30UWE_x560665_y5959215,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.76638703798651,-2.060306499422041,EPSG:32630,,,,,,,,,,,,,8
EMSR150_4_30UWE_x560665_y5961775,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.78939386405459,-2.0597923843995987,EPSG:32630,,,,,,,,,,,,,8
EMSR150_4_30UWE_x560665_y5964335,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.81240059791367,-2.05927755514534,EPSG:32630,,,,,,,,,,,,,7
EMSR150_4_30UWE_x563225_y5946415,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.65104214584907,-2.0241404319294185,EPSG:32630,,,,,,,,,,,,,3
EMSR150_4_30UWE_x563225_y5948975,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.67404917442493,-2.02360877764313,EPSG:32630,,,,,,,,,,,,,6
EMSR150_4_30UWE_x563225_y5951535,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.69705611042839,-2.0230763865514603,EPSG:32630,,,,,,,,,,,,,8
EMSR150_4_30UWE_x563225_y5954095,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.72006295387525,-2.022543257278115,EPSG:32630,,,,,,,,,,,,,9
EMSR150_4_30UWE_x563225_y5956655,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.74306970478136,-2.0220093884432933,EPSG:32630,,,,,,,,,,,,,7
EMSR150_4_30UWE_x563225_y5959215,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.76607636316261,-2.021474778663681,EPSG:32630,,,,,,,,,,,,,5
EMSR150_4_30UWE_x563225_y5961775,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.789082929034905,-2.020939426552437,EPSG:32630,,,,,,,,,,,,,2
EMSR150_4_30UWE_x563225_y5964335,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.81208940241423,-2.020403330719181,EPSG:32630,,,,,,,,,,,,,1
EMSR150_4_30UWE_x565785_y5946415,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.650720244515526,-1.985415191617565,EPSG:32630,,,,,,,,,,,,,2
EMSR150_4_30UWE_x565785_y5948975,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.673727003836,-1.9848624482426207,EPSG:32630,,,,,,,,,,,,,12
EMSR150_4_30UWE_x565785_y5951535,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.69673367029147,-1.9843089388496733,EPSG:32630,,,,,,,,,,,,,12
EMSR150_4_30UWE_x565785_y5954095,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.71974024389718,-1.9837546620079003,EPSG:32630,,,,,,,,,,,,,3
EMSR150_4_30UWE_x565785_y5956655,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.74274672466839,-1.9831996162828376,EPSG:32630,,,,,,,,,,,,,6
EMSR150_4_30UWE_x565785_y5959215,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.76575311262044,-1.9826438002363649,EPSG:32630,,,,,,,,,,,,,3
EMSR150_4_30UWE_x565785_y5961775,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.78875940776865,-1.9820872124266973,EPSG:32630,,,,,,,,,,,,,12
EMSR150_4_30UWE_x565785_y5964335,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.81176561012843,-1.98152985140837,EPSG:32630,,,,,,,,,,,,,1
EMSR150_4_30UWE_x568345_y5946415,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.6503858204764,-1.946690715895924,EPSG:32630,,,,,,,,,,,,,2
EMSR150_4_30UWE_x568345_y5951535,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.69639868649698,-1.9455422585961049,EPSG:32630,,,,,,,,,,,,,3
EMSR150_4_30UWE_x568345_y5954095,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.71940497976847,-1.944966835620367,EPSG:32630,,,,,,,,,,,,,3
EMSR150_4_30UWE_x568345_y5956655,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.74241117990032,-1.94439061444318,EPSG:32630,,,,,,,,,,,,,8
EMSR150_4_30UWE_x568345_y5959215,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.76541728690726,-1.943813593571632,EPSG:32630,,,,,,,,,,,,,5
EMSR150_4_30UWE_x568345_y5961775,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.788423300804006,-1.943235771509002,EPSG:32630,,,,,,,,,,,,,7
EMSR150_4_30UWE_x568345_y5964335,2015-11-14T17:49:55.257501Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.8114292216054,-1.942657146754756,EPSG:32630,,,,,,,,,,,,,4
EMSR150_6_30UWE_x585495_y5946725,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.65060821868443,-1.6872023434429029,EPSG:32631,,,,,,,,,,,,,1
EMSR150_6_30UWE_x585495_y5949285,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,,,,2015-01-30,53.6736125428246,-1.686487162539346,EPSG:32631,,,,,,,,,,,,,3
EMSR150_7_30UWE_x594325_y5973415,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.88888907729054,-1.5453842380943046,EPSG:32631,,,,,,,,,,,,,6
EMSR150_7_30UWE_x594325_y5975975,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.91189110447012,-1.5445848790632155,EPSG:32631,,,,,,,,,,,,,5
EMSR150_7_30UWE_x594325_y5978535,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.93489303483263,-1.5437844068603837,EPSG:32631,,,,,,,,,,,,,9
EMSR150_7_30UWE_x594325_y5981095,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.95789486838566,-1.5429828193924415,EPSG:32631,,,,,,,,,,,,,2
EMSR150_7_30UWE_x594325_y5983655,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.980896605136834,-1.5421801145606582,EPSG:32631,,,,,,,,,,,,,1
EMSR150_7_30UWE_x594325_y5986215,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,54.003898245093815,-1.5413762902609218,EPSG:32631,,,,,,,,,,,,,8
EMSR150_7_30UWE_x596885_y5975975,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.91141251150744,-1.505625844160358,EPSG:32631,,,,,,,,,,,,,1
EMSR150_7_30UWE_x596885_y5978535,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.93441404046827,-1.5048039638523878,EPSG:32631,,,,,,,,,,,,,4
EMSR150_7_30UWE_x596885_y5981095,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.95741547217934,-1.5039809384840035,EPSG:32631,,,,,,,,,,,,,7
EMSR150_7_30UWE_x596885_y5983655,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.98041680664743,-1.503156765900496,EPSG:32631,,,,,,,,,,,,,1
EMSR150_7_30UWE_x596885_y5986215,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,54.00341804387931,-1.5023314439416298,EPSG:32631,,,,,,,,,,,,,5
EMSR150_8_30UWE_x593265_y5947085,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.652496652748006,-1.569574270590071,EPSG:32631,,,,,,,,,,,,,8
EMSR150_8_30UWE_x593265_y5949645,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.675499837254,-1.5687949677318036,EPSG:32631,,,,,,,,,,,,,1
EMSR150_8_30UWE_x593265_y5952205,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.69850292504069,-1.5680145850063083,EPSG:32631,,,,,,,,,,,,,3
EMSR150_8_30UWE_x593265_y5954765,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.72150591611585,-1.567233120396927,EPSG:32631,,,,,,,,,,,,,3
EMSR150_8_30UWE_x593265_y5957325,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.74450881048728,-1.566450571881866,EPSG:32631,,,,,,,,,,,,,1
EMSR150_8_30UWE_x593265_y5962445,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.79051430915013,-1.5648822150217672,EPSG:32631,,,,,,,,,,,,,3
EMSR150_8_30UWE_x593265_y5965005,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.81351691345725,-1.5640964026073283,EPSG:32631,,,,,,,,,,,,,9
EMSR150_8_30UWE_x595825_y5947085,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.652027742531175,-1.530854326293345,EPSG:32631,,,,,,,,,,,,,3
EMSR150_8_30UWE_x595825_y5949645,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.67503053487639,-1.530053946888821,EPSG:32631,,,,,,,,,,,,,6
EMSR150_8_30UWE_x595825_y5952205,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.69803323007625,-1.5292524584415474,EPSG:32631,,,,,,,,,,,,,5
EMSR150_8_30UWE_x595825_y5954765,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.72103582813772,-1.528449858880465,EPSG:32631,,,,,,,,,,,,,4
EMSR150_8_30UWE_x595825_y5957325,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.74403832906776,-1.5276461461292408,EPSG:32631,,,,,,,,,,,,,8
EMSR150_8_30UWE_x595825_y5959885,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.76704073287334,-1.526841318106256,EPSG:32631,,,,,,,,,,,,,7
EMSR150_8_30UWE_x595825_y5962445,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.79004303956144,-1.526035372724585,EPSG:32631,,,,,,,,,,,,,12
EMSR150_8_30UWE_x595825_y5965005,2015-11-11T06:14:17.247003Z,2015-12-10T06:22:17.533118Z,2016-01-01T17:49:53.851897Z,2016-01-30T17:58:19.368637Z,2014-11-16,,,2015-01-30,53.81304524913908,-1.5252283078919788,EPSG:32631,,,,,,,,,,,,,6
EMSR156_1_29UNV_x537625_y5948945,2016-01-21T18:22:43.208532Z,2016-02-16T06:55:26.377853Z,2016-03-09T18:22:42.643994Z,2016-03-30T06:47:07.943720Z,,2015-02-16,2015-02-28,2015-03-24,53.67631180863443,-8.411111534952445,EPSG:32629,,,,,,,,,,,,,2
EMSR156_1_29UNV_x537625_y5954065,2016-01-21T18:22:43.208532Z,2016-02-16T06:55:26.377853Z,2016-03-09T18:22:42.643994Z,2016-03-30T06:47:07.943720Z,,2015-02-16,2015-02-28,2015-03-24,53.72232983010503,-8.410468817280078,EPSG:32629,,,,,,,,,,,,,5
EMSR156_1_29UNV_x537625_y5956625,2016-01-21T18:22:43.208532Z,2016-02-16T06:55:26.377853Z,2016-03-09T18:22:42.643994Z,2016-03-30T06:47:07.943720Z,,2015-02-16,2015-02-28,2015-03-24,53.74533870548265,-8.410146789615425,EPSG:32629,,,,,,,,,,,,,8
