Nome_Serie,Data_1_org_SAR,Data_2_org_SAR,Data_3_org_SAR,Data_4_org_SAR,Data_1_SAR,Data_2_SAR,Data_3_SAR,Data_4_SAR,Lat_Centro_SAR,Lon_Centro_SAR,EPSG_SAR,Data_1_org_OPT,Data_2_org_OPT,Data_3_org_OPT,Data_4_org_OPT,Data_1_OPT,Data_2_OPT,Data_3_OPT,Data_4_OPT,Lat_Centro_OPT,Lon_Centro_OPT,MGRS_Tile_OPT,EPSG_OPT
EMSR203_1_15STA_x209075_y4006445,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.14802764729816,-96.2192846890392,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.14802764729816,-96.2192846890392,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4011565,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.194114865141685,-96.2211721944397,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.194114865141685,-96.2211721944397,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4016685,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.240201642055055,-96.22306399178602,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.240201642055055,-96.22306399178602,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4019245,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.26324486503162,-96.22401150305262,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.26324486503162,-96.22401150305262,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4024365,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.309330979761945,-96.22590975701972,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.309330979761945,-96.22590975701972,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4026925,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.332373871410695,-96.2268605022258,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.332373871410695,-96.2268605022258,15STA,EPSG:32615
EMSR203_1_15STA_x209075_y4029485,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.35541665251185,-96.22781232792096,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.35541665251185,-96.22781232792096,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y3993645,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.033565679614505,-96.18621300682808,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.033565679614505,-96.18621300682808,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y3996205,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.05661053090924,-96.18714264021658,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.05661053090924,-96.18714264021658,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4001325,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.10269990478992,-96.1890050768966,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.10269990478992,-96.1890050768966,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4009005,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.171833143058265,-96.19180667502096,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.171833143058265,-96.19180667502096,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4016685,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.24096539301468,-96.19461783434392,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.24096539301468,-96.19461783434392,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4021805,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.28705300989673,-96.19649726878374,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.28705300989673,-96.19649726878374,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4024365,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.31009665325515,-96.19743858818664,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.31009665325515,-96.19743858818664,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4026925,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.3331401864892,-96.19838097736807,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.3331401864892,-96.19838097736807,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4029485,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.35618360954694,-96.19932443757337,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.35618360954694,-96.19932443757337,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4032045,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.379226922376425,-96.20026897004983,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-12,36.379226922376425,-96.20026897004983,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4034605,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.402270124925714,-96.20121457604726,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.402270124925714,-96.20121457604726,15STA,EPSG:32615
EMSR203_1_15STA_x211635_y4037165,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.425313217142886,-96.20216125681758,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.425313217142886,-96.20216125681758,15STA,EPSG:32615
EMSR203_1_15STA_x214195_y3996205,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.057362466196125,-96.15876170982642,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.057362466196125,-96.15876170982642,15STA,EPSG:32615
EMSR203_1_15STA_x214195_y3998765,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.08040783985217,-96.1596841455985,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.08040783985217,-96.1596841455985,15STA,EPSG:32615
EMSR203_1_15STA_x214195_y4009005,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.17258824154065,-96.1633843818205,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.17258824154065,-96.1633843818205,15STA,EPSG:32615
EMSR203_1_15STA_x214195_y4011565,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.19563306847128,-96.16431207023764,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.19563306847128,-96.16431207023764,15STA,EPSG:32615
EMSR203_1_15STA_x214195_y4019245,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.26476689205977,-96.16710146548576,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.26476689205977,-96.16710146548576,15STA,EPSG:32615
EMSR203_1_15STA_x214195_y4029485,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.3569437881154,-96.17083547495488,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.3569437881154,-96.17083547495488,15STA,EPSG:32615
EMSR203_1_15STA_x214195_y4037165,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.42607530681041,-96.17364713707202,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.42607530681041,-96.17364713707202,15STA,EPSG:32615
EMSR203_1_15STA_x214195_y4044845,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.49520583538066,-96.17646839784288,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.49520583538066,-96.17646839784288,15STA,EPSG:32615
EMSR203_1_15STA_x214195_y4047405,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.51824912463664,-96.17741095695116,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.51824912463664,-96.17741095695116,15STA,EPSG:32615
EMSR203_1_15STA_x216755_y4016685,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.24247264355752,-96.13772233071596,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.24247264355752,-96.13772233071596,15STA,EPSG:32615
EMSR203_1_15STA_x216755_y4019245,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.26551777101174,-96.13864485519552,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.26551777101174,-96.13864485519552,15STA,EPSG:32615
EMSR203_1_15STA_x216755_y4021805,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.2885627891752,-96.13956842809804,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.2885627891752,-96.13956842809804,15STA,EPSG:32615
EMSR203_1_15STA_x216755_y4026925,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.33465249742614,-96.14141872405004,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.33465249742614,-96.14141872405004,15STA,EPSG:32615
EMSR203_1_15STA_x216755_y4029485,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.35769718741185,-96.14234544954404,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.35769718741185,-96.14234544954404,15STA,EPSG:32615
EMSR203_1_15STA_x216755_y4032045,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.38074176790317,-96.14327322835004,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.38074176790317,-96.14327322835004,15STA,EPSG:32615
EMSR203_1_15STA_x216755_y4037165,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.4268306001992,-96.14513195081126,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.4268306001992,-96.14513195081126,15STA,EPSG:32615
EMSR203_1_15STA_x216755_y4039725,2017-03-09T00:20:08.325506Z,2017-04-02T00:20:08.980747Z,2017-05-08T00:20:10.789042Z,2017-06-01T00:20:11.936753Z,2016-03-02,2016-03-26,2016-05-01,2016-05-25,36.44987485190219,-96.1460628969286,EPSG:32615,2017-03-01T17:12:51.026000Z,2017-03-01T17:12:51.026000Z,2017-04-30T17:13:01.026000Z,2017-05-07T17:03:11.026000Z,2016-03-03,2016-03-03,2016-05-05,2016-05-05,36.44987485190219,-96.1460628969286,15STA,EPSG:32615
